Company,ProductTypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,class_name
Dell,Notebook,Standard,1366_768,Intel_Core_i5,Other,HDD,Intel,Windows_10,Heavy,Low
Dell,Gaming,Standard,Other,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Lenovo,Notebook,Standard,1366_768,AMD,4GB,HDD,AMD,Windows_10,Medium,Low
HP,Netbook,Small,Other,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
HP,Ultrabook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Dell,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Nvidia,Other,Light,Mid_Range
HP,Notebook,Small,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD_HDD,Nvidia,Windows_10,Heavy,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,AMD,Windows_10,Medium,High
Asus,Notebook,Standard,Full_HD,Intel_Celeron,4GB,Flash_Storage,Intel,Windows_10,Light,Low
Dell,Notebook,Standard,1366_768,Intel_Core_i3,8GB,SSD,Intel,Windows_10,Medium,Low
Lenovo,Notebook,Small,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Other,Ultrabook,Small,Other,Intel_Other,4GB,SSD,Intel,Windows_10,Light,Mid_Range
Dell,Notebook,Gaming,Full_HD,Intel_Core_i7,8GB,SSD_HDD,AMD,Windows_10,Heavy,Mid_Range
Other,Gaming,Gaming,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
HP,Notebook,Small,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Lenovo,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,SSD_HDD,Nvidia,Windows_10,Heavy,Mid_Range
Other,Ultrabook,Small,Full_HD_Touchscreen,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
